mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	78.9069	61.2009
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.4904	68.4373
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0200	79.2148	60.7390
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0100	87.8753	68.1678
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0200	79.8691	60.9700
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1000	93.4950	71.7090	0.1200	91.9938	72.1324
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.1900	94.8037	71.7475	0.2200	93.8029	71.7860
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.3100	94.7652	73.9415	0.3600	92.4942	74.4034
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.3500	94.6112	74.7498	0.3800	92.3018	75.2117
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.3500	94.6497	74.7498	0.3700	93.5335	75.1732
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.2400	95.1886	68.2833	0.3900	91.3010	70.4773
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.3000	94.8807	74.0185	0.3400	92.9561	74.6728
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.1700	94.6882	71.5550	0.2300	93.3025	72.5173
3	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.3200	95.0731	73.7875	0.3600	93.0331	74.2109
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1700	93.5335	74.0570	0.1800	93.0716	74.2109
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.2600	93.9184	72.7098	0.2600	93.9184	72.7098
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.3300	94.6112	73.4026	0.3300	94.6112	73.4026
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.3100	95.2656	72.3249	0.3500	93.7644	72.4403
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.3100	95.2656	72.2479	0.3500	93.7644	72.5173
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.3700	93.8029	70.5928	0.4100	93.4565	70.7082
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.3100	94.6882	73.7875	0.3400	93.8799	73.8645
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.2900	93.9184	72.9792	0.4600	89.4919	73.6721
4	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.3100	94.9962	72.7098	0.3300	94.6112	73.0947
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0700	95.8045	64.0878	0.1500	93.6105	65.2425
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.1800	96.3048	60.5466	0.3000	94.5343	60.7390
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.2200	96.2664	63.2025	0.2400	96.0739	63.2410
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.2300	96.1124	61.8168	0.2600	95.9584	61.8938
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.2300	96.1124	61.7783	0.2600	95.9199	61.9323
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.3200	95.7275	64.0878	0.4500	95.4580	64.2032
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.2300	95.9199	62.3557	0.2300	95.9199	62.3557
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.1000	96.3048	62.9715	0.1000	96.3048	62.9715
5	0.5000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.2200	96.2664	62.6636	0.2400	96.0739	62.8560
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0100	87.6059	69.0916	0.0100	87.6059	69.0916
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	77.0978	61.2779
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0100	87.7213	68.7452	0.0100	87.7213	68.7452
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	78.9069	61.2009
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
1	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0100	87.6443	68.5912	0.0100	87.6443	68.5912
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	79.0223	60.9315
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
2	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.1000	93.3410	71.4781	0.1200	91.4550	72.0169
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.1900	94.8037	71.7860	0.1900	94.8037	71.7860
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.2900	94.8422	73.2871	0.3200	93.9184	73.8645
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.3100	95.3811	73.1332	0.3400	94.0724	73.3641
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.3100	95.3811	73.1717	0.3200	94.8807	73.3256
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.2400	95.3426	68.4373	0.3900	91.6474	70.6697
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.2800	95.4580	72.7868	0.3100	94.1493	73.5181
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.1600	94.9192	71.3241	0.2400	92.9946	72.4018
3	0.7500	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.2700	96.0739	72.2864	0.3300	93.7259	73.6721
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	InternalInfluence	0	96.2279	59.8537	0.0100	87.6828	69.0531	0.0100	87.6828	69.0531
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerConductance	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLift	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerDeepLiftShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradCam	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0700	77.4057	61.3164
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientShap	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerGradientXActivation	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
0	1.0000	SVHN	ResNet50	LinfPGD	0.0100	LayerIntegratedGradients	0	96.2279	59.8537	0.0000	96.2279	59.8537	0.0000	96.2279	59.8537
