mode	q_mask	data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.12	87.70	34.50	0.14	82.30	35.20
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.23	90.70	42.30	0.25	89.00	43.30
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.23	91.80	39.50	0.28	88.10	42.50
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.23	91.80	39.50	0.28	88.10	42.50
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.26	88.40	31.80	0.41	73.00	37.60
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.24	91.30	42.60	0.28	86.50	44.30
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.09	89.50	34.60	0.12	84.50	37.80
0	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.26	92.60	43.40	0.29	90.50	44.40
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.19	86.30	45.00	0.27	78.00	46.20
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.12	91.90	23.20	0.17	87.10	26.00
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.31	88.60	33.00	0.38	79.20	33.60
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.30	90.50	30.50	0.36	84.60	32.20
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.30	90.50	30.50	0.36	84.60	32.20
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.22	90.50	26.90	0.39	75.10	34.70
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.30	90.80	31.40	0.37	83.20	32.60
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.09	91.90	26.20	0.14	86.50	30.50
1	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.29	92.50	29.70	0.39	84.50	33.50
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.25	87.90	45.20	0.30	83.30	48.20
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.14	90.20	24.40	0.18	86.90	26.60
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.33	89.40	35.90	0.40	83.40	36.50
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.33	91.00	33.90	0.40	84.70	35.10
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.33	91.00	33.90	0.40	84.70	35.10
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.25	88.50	27.30	0.36	78.90	33.00
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.27	92.90	31.50	0.41	85.50	37.40
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.10	92.00	26.10	0.16	86.90	29.20
2	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.35	90.90	35.50	0.45	85.10	38.70
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.11	88.90	27.50	0.24	70.40	37.40
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.17	89.80	29.30	0.36	74.90	36.50
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.29	92.80	35.40	0.38	85.90	39.50
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.33	91.50	36.50	0.39	84.70	38.70
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.33	91.50	36.50	0.39	84.70	38.70
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.48	90.10	29.70	0.58	84.40	33.80
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.33	91.40	37.80	0.41	81.80	40.00
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.23	90.70	34.40	0.31	83.40	39.50
3	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.33	91.30	37.50	0.43	78.60	40.20
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.18	85.90	31.90	0.33	65.50	38.60
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.26	84.90	36.00	0.39	75.60	42.20
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.38	88.10	42.70	0.45	80.30	44.80
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.34	90.30	40.70	0.42	84.50	43.60
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.34	90.30	40.70	0.42	84.50	43.60
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.55	89.50	33.30	0.62	84.00	34.90
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.36	89.60	42.20	0.41	85.50	45.40
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.29	86.70	40.20	0.40	76.30	42.80
4	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.38	89.30	42.90	0.44	81.80	44.10
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.08	94.60	17.40	0.60	69.80	31.30
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.37	92.50	19.00	0.63	64.10	28.50
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.30	12.50	0.21	94.40	17.90	0.62	66.00	28.70
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.22	94.30	17.60	0.57	66.00	26.90
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.22	94.30	17.60	0.57	66.00	26.90
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.70	92.90	23.40	0.86	87.60	25.40
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.21	94.70	17.80	0.61	61.20	28.50
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.27	94.10	18.40	0.32	93.90	18.60
5	0.50	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.22	94.40	18.10	0.62	61.30	29.20
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.10	88.00	38.80	0.13	80.90	43.10
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.10	89.50	32.80	0.14	82.10	36.00
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.21	93.80	37.10	0.30	83.00	40.60
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.21	93.80	37.10	0.30	83.00	40.60
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.26	88.00	32.70	0.41	72.00	37.60
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.23	91.10	41.20	0.26	88.70	42.60
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.09	88.20	36.30	0.12	81.80	37.90
0	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.26	90.80	43.70	0.26	90.80	43.70
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.12	88.10	41.60	0.14	84.80	44.20
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.10	89.90	32.50	0.16	79.10	36.00
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.24	90.30	42.20	0.27	86.80	43.90
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.24	90.30	42.20	0.27	86.80	43.90
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.26	88.70	32.60	0.41	72.40	37.80
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.23	90.50	43.40	0.24	89.10	44.50
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.09	89.50	34.70	0.13	82.10	38.00
1	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.26	91.40	44.30	0.29	88.60	44.90
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.15	89.50	39.50	0.27	75.50	45.70
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.13	91.40	24.90	0.18	86.10	27.30
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.24	93.70	28.90	0.36	81.90	34.10
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.24	93.70	28.90	0.36	81.90	34.10
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.26	88.70	29.30	0.41	75.20	35.90
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.25	92.30	32.10	0.37	78.50	35.20
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.10	90.70	28.00	0.15	84.40	30.90
2	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.30	90.10	33.80	0.39	79.60	36.60
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.10	89.50	26.60	0.25	65.60	36.90
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.19	89.00	31.00	0.33	78.00	39.00
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.32	88.70	39.60	0.37	83.50	40.80
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.32	88.70	39.60	0.37	83.50	40.80
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.48	90.70	30.50	0.61	85.10	34.50
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.29	90.70	38.10	0.39	79.50	40.50
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.26	87.80	38.70	0.30	83.10	41.40
3	0.75	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.32	89.50	39.00	0.38	84.40	40.80
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	0	95.30	12.50	0.10	86.50	39.30	0.15	75.00	42.50
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.30	12.50	0.11	87.70	35.40	0.14	81.90	37.00
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.30	12.50	0.23	90.40	41.80	0.28	84.30	42.10
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLiftShap	0	95.30	12.50	0.23	90.40	41.80	0.28	84.30	42.10
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.30	12.50	0.27	88.20	32.60	0.39	72.40	37.50
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientShap	0	95.30	12.50	0.22	90.50	42.00	0.24	88.70	43.00
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.30	12.50	0.09	87.60	36.50	0.12	81.50	38.20
0	1.00	CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.30	12.50	0.25	90.70	42.90	0.29	86.20	44.20
